Short_topo,missense,nonsense,FS,splice,large del,other,intronic,NA,silent,Total
BREAST (155 individuals),0.6129032258064516,0.1032258064516129,0.11612903225806452,0.1032258064516129,0.025806451612903226,0.025806451612903226,0.0064516129032258064,NA,0.0064516129032258064,1
OTHER (94 individuals),0.7340425531914894,0.10638297872340426,0.06382978723404255,0.0851063829787234,0.010638297872340425,NA,NA,NA,NA,1
SOFT TISSUES (79 individuals),0.7215189873417721,0.06329113924050633,0.08860759493670886,0.10126582278481013,0.012658227848101266,NA,NA,0.012658227848101266,NA,1
Osteosarcoma (49 individuals),0.673469387755102,0.12244897959183673,0.10204081632653061,0.04081632653061224,0.04081632653061224,NA,NA,0.02040816326530612,NA,1
Adrenal cortical carcinoma (34 individuals),0.8235294117647058,0.058823529411764705,0.029411764705882353,0.029411764705882353,NA,0.058823529411764705,NA,NA,NA,1
BRAIN (33 individuals),0.7878787878787878,0.09090909090909091,0.030303030303030304,NA,NA,0.06060606060606061,0.030303030303030304,NA,NA,1
