Age_stratum,missense,nonsense,FS,splice,other,large del,NA,intronic,silent,Total
0-9 (213 individuals),0.6666666666666666,0.11737089201877934,0.07042253521126761,0.07511737089201878,0.04225352112676056,0.014084507042253521,NA,0.004694835680751174,0.009389671361502348,1
40 and up (199 individuals),0.7537688442211056,0.06532663316582915,0.05025125628140704,0.05527638190954774,0.020100502512562814,0.01507537688442211,0.020100502512562814,0.01507537688442211,0.005025125628140704,1
30-39 (180 individuals),0.6888888888888889,0.08333333333333333,0.07777777777777778,0.09444444444444444,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.011111111111111112,0.016666666666666666,1
20-29 (166 individuals),0.5903614457831325,0.14457831325301204,0.13855421686746988,0.09036144578313253,0.018072289156626505,0.012048192771084338,0.006024096385542169,NA,NA,1
10-19 (125 individuals),0.68,0.072,0.112,0.08,0.024,0.008,0.016,0.008,NA,1
