Short_topo,missense,nonsense,FS,splice,other,large del,NA,intronic,silent,Total
BREAST (316 individuals),0.6487341772151899,0.08544303797468354,0.0981012658227848,0.0981012658227848,0.0189873417721519,0.012658227848101266,0.00949367088607595,0.015822784810126583,0.012658227848101266,1
OTHER (174 individuals),0.7701149425287356,0.1206896551724138,0.05747126436781609,0.04597701149425287,0.005747126436781609,NA,NA,NA,NA,1
BRAIN (154 individuals),0.7662337662337663,0.08441558441558442,0.06493506493506493,0.03896103896103896,0.025974025974025976,0.012987012987012988,NA,0.006493506493506494,NA,1
SOFT TISSUES (106 individuals),0.5754716981132075,0.1509433962264151,0.09433962264150944,0.08490566037735849,0.03773584905660377,0.018867924528301886,0.02830188679245283,0.009433962264150943,NA,1
Adrenal cortical carcinoma (85 individuals),0.6470588235294118,0.058823529411764705,0.10588235294117647,0.10588235294117647,0.03529411764705882,0.023529411764705882,NA,NA,0.023529411764705882,1
Osteosarcoma (48 individuals),0.5416666666666666,0.08333333333333333,0.125,0.125,0.0625,0.020833333333333332,0.041666666666666664,NA,NA,1
