Short_topo,Cancer,Adrenal cortical carcinoma,Infiltrating duct carcinoma,Osteosarcoma,Rhabdomyosarcoma,Medulloblastoma,Choroid plexus carcinoma,Sarcoma,Glioblastoma,Astrocytoma,Leiomyosarcoma,"Astrocytoma, anaplastic",Carcinoma in situ,Liposarcoma,Embryonal rhabdomyosarcoma,Primitive neuroectodermal tumor,"Phyllodes tumor, malignant","Glioma, malignant","Ductal carcinoma in situ, solid type",Ependymoma,Lobular carcinoma,Malignant fibrous histiocytoma,Oligodendroglioma,Choroid plexus papilloma,Mixed glioma,Myxoid liposarcoma,Benign fibrous histiocytoma,Canalicular adenoma,Dysembryoplastic neuroepithelial tumor,Ewing sarcoma,Fibrosarcoma,Gliosarcoma,Infiltrating duct and lobular carcinoma,Lipoblastomatosis,Lipoma,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation,"Meningioma, malignant",Myxosarcoma,"Oligodendroglioma, anaplastic",Papillary adenocarcinoma,Peripheral neuroectodermal tumor,"Phyllodes tumor, benign","Pleomorphic rhabdomyosarcoma, adult type",Stromal sarcoma,Total
BREAST,245,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,5,NA,3,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,323
BRAIN,20,NA,NA,NA,NA,34,29,NA,18,12,NA,9,NA,NA,NA,7,NA,4,NA,3,NA,NA,3,2,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,149
SOFT TISSUES,NA,NA,NA,NA,39,NA,NA,26,NA,NA,10,NA,NA,8,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,1,104
Adrenal cortical carcinoma,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Osteosarcoma,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
Total,265,82,56,51,39,34,29,26,18,12,10,9,8,8,7,7,5,4,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,709
