Age_stratum,BREAST,OTHER,SOFT TISSUES,Osteosarcoma,Adrenal cortical carcinoma,BRAIN,Total
0-9 (122 individuals),NA,0.1721311475409836,0.3770491803278688,0.040983606557377046,0.26229508196721313,0.14754098360655737,1
20-29 (106 individuals),0.6132075471698113,0.18867924528301888,0.07547169811320754,0.04716981132075472,0.009433962264150943,0.0660377358490566,1
30-39 (84 individuals),0.6785714285714286,0.17857142857142858,0.08333333333333333,0.03571428571428571,NA,0.023809523809523808,1
40 and up (73 individuals),0.4246575342465753,0.3698630136986301,0.1780821917808219,0.0136986301369863,NA,0.0136986301369863,1
10-19 (59 individuals),0.03389830508474576,0.1864406779661017,0.0847457627118644,0.5932203389830508,0.01694915254237288,0.0847457627118644,1
