Age_stratum,BREAST,OTHER,BRAIN,SOFT TISSUES,Adrenal cortical carcinoma,Osteosarcoma,Total
0-9 (213 individuals),NA,0.08450704225352113,0.3568075117370892,0.22535211267605634,0.3145539906103286,0.018779342723004695,1
40 and up (199 individuals),0.4321608040201005,0.3869346733668342,0.06532663316582915,0.10552763819095477,NA,0.010050251256281407,1
30-39 (180 individuals),0.6777777777777778,0.17777777777777778,0.07777777777777778,0.044444444444444446,0.016666666666666666,0.005555555555555556,1
20-29 (166 individuals),0.6265060240963856,0.12048192771084337,0.1144578313253012,0.0783132530120482,0.024096385542168676,0.03614457831325301,1
10-19 (125 individuals),0.032,0.216,0.256,0.128,0.088,0.28,1
