Short_topo,Cancer,Osteosarcoma,Infiltrating duct carcinoma,Sarcoma,Rhabdomyosarcoma,Leiomyosarcoma,Glioblastoma,Choroid plexus carcinoma,"Astrocytoma, anaplastic",Liposarcoma,"Phyllodes tumor, malignant",Astrocytoma,"Ductal carcinoma in situ, solid type",Malignant fibrous histiocytoma,Spindle cell sarcoma,Embryonal rhabdomyosarcoma,Fibrosarcoma,Medulloblastoma,Carcinoma in situ,"Paget's disease, mammary",Primitive neuroectodermal tumor,Canalicular adenoma,Dermatofibrosarcoma,Fibroadenoma,"Intraductal carcinoma, noninfiltrating",Neurofibroma,Oligodendroglioma,Paget's disease and intraductal carcinoma of breast,Pleomorphic xanthoastrocytoma,Adenocarcinoma,Angiomyoma,Astroblastoma,Atypical choroid plexus papilloma,Atypical fibrous histiocytoma,Atypical medullary carcinoma,Benign fibrous histiocytoma,Choroid plexus papilloma,Comedocarcinoma,"Comedocarcinoma, noninfiltrating","Glioma, malignant",Hemangioendothelioma,Hemangioma,Leiomyoma,Malignant peripheral nerve sheath tumor,Meningioma,Myxosarcoma,"Neoplasm, benign",Neurilemoma,"Phyllodes tumor, benign",Pilocytic astrocytoma,Plexiform fibrohistiocytic tumor,Stromal sarcoma,"Synovial sarcoma, biphasic",Tubular adenocarcinoma,Undifferentiated sarcoma,Total
BREAST,0.7021276595744681,NA,0.17325227963525835,NA,NA,NA,NA,NA,NA,NA,0.030395136778115502,NA,0.0243161094224924,NA,0.00303951367781155,NA,NA,NA,0.0121580547112462,0.0121580547112462,NA,0.0060790273556231,NA,0.00303951367781155,0.0060790273556231,NA,NA,0.0060790273556231,NA,0.00303951367781155,NA,NA,NA,NA,0.00303951367781155,NA,NA,0.00303951367781155,0.00303951367781155,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00303951367781155,NA,NA,0.00303951367781155,NA,0.00303951367781155,NA,1
SOFT TISSUES,NA,NA,NA,0.2857142857142857,0.25595238095238093,0.15476190476190477,NA,NA,NA,0.06547619047619048,NA,NA,NA,0.041666666666666664,0.03571428571428571,0.023809523809523808,0.02976190476190476,NA,NA,NA,NA,NA,0.011904761904761904,0.005952380952380952,NA,0.011904761904761904,NA,NA,NA,NA,0.005952380952380952,NA,NA,0.005952380952380952,NA,0.005952380952380952,NA,NA,NA,NA,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.005952380952380952,NA,0.005952380952380952,0.005952380952380952,0.005952380952380952,NA,NA,0.005952380952380952,NA,0.005952380952380952,NA,0.005952380952380952,1
Osteosarcoma,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRAIN,0.13636363636363635,NA,NA,NA,NA,NA,0.19318181818181818,0.18181818181818182,0.1590909090909091,NA,NA,0.10227272727272728,NA,NA,NA,0.011363636363636364,NA,0.056818181818181816,NA,NA,0.045454545454545456,NA,NA,NA,NA,NA,0.022727272727272728,NA,0.022727272727272728,NA,NA,0.011363636363636364,0.011363636363636364,NA,NA,NA,0.011363636363636364,NA,NA,0.011363636363636364,NA,NA,NA,NA,0.011363636363636364,NA,NA,NA,NA,0.011363636363636364,NA,NA,NA,NA,NA,1
