Age_stratum,missense,FS,nonsense,splice,other,large del,intronic,NA,silent,Total
20-29,0.6383561643835617,0.1178082191780822,0.12602739726027398,0.07397260273972603,0.019178082191780823,0.019178082191780823,0.0027397260273972603,0.0027397260273972603,NA,1
30-39,0.628099173553719,0.07162534435261708,0.10743801652892562,0.14049586776859505,0.01652892561983471,0.011019283746556474,0.011019283746556474,0.0027548209366391185,0.011019283746556474,1
0-9,0.7082152974504249,0.0821529745042493,0.0764872521246459,0.06515580736543909,0.042492917847025496,0.0113314447592068,0.0056657223796034,0.0028328611898017,0.0056657223796034,1
40 and up,0.71,0.08,0.05,0.07,0.023333333333333334,0.03,0.013333333333333334,0.02,0.0033333333333333335,1
10-19,0.6504424778761062,0.11946902654867257,0.07964601769911504,0.0752212389380531,0.022123893805309734,0.02654867256637168,0.008849557522123894,0.017699115044247787,NA,1
