Short_topo,Cancer,Osteosarcoma,Infiltrating duct carcinoma,Sarcoma,Rhabdomyosarcoma,Leiomyosarcoma,Glioblastoma,Choroid plexus carcinoma,"Astrocytoma, anaplastic",Liposarcoma,"Phyllodes tumor, malignant",Astrocytoma,"Ductal carcinoma in situ, solid type",Malignant fibrous histiocytoma,Spindle cell sarcoma,Embryonal rhabdomyosarcoma,Fibrosarcoma,Medulloblastoma,Carcinoma in situ,"Paget's disease, mammary",Primitive neuroectodermal tumor,Canalicular adenoma,Dermatofibrosarcoma,Fibroadenoma,"Intraductal carcinoma, noninfiltrating",Neurofibroma,Oligodendroglioma,Paget's disease and intraductal carcinoma of breast,Pleomorphic xanthoastrocytoma,Adenocarcinoma,Angiomyoma,Astroblastoma,Atypical choroid plexus papilloma,Atypical fibrous histiocytoma,Atypical medullary carcinoma,Benign fibrous histiocytoma,Choroid plexus papilloma,Comedocarcinoma,"Comedocarcinoma, noninfiltrating","Glioma, malignant",Hemangioendothelioma,Hemangioma,Leiomyoma,Malignant peripheral nerve sheath tumor,Meningioma,Myxosarcoma,"Neoplasm, benign",Neurilemoma,"Phyllodes tumor, benign",Pilocytic astrocytoma,Plexiform fibrohistiocytic tumor,Stromal sarcoma,"Synovial sarcoma, biphasic",Tubular adenocarcinoma,Undifferentiated sarcoma,Total
BREAST,231,NA,57,NA,NA,NA,NA,NA,NA,NA,10,NA,8,NA,1,NA,NA,NA,4,4,NA,2,NA,1,2,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,329
SOFT TISSUES,NA,NA,NA,48,43,26,NA,NA,NA,11,NA,NA,NA,7,6,4,5,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,1,NA,1,NA,1,168
Osteosarcoma,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
BRAIN,12,NA,NA,NA,NA,NA,17,16,14,NA,NA,9,NA,NA,NA,1,NA,5,NA,NA,4,NA,NA,NA,NA,NA,2,NA,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,88
Total,243,102,57,48,43,26,17,16,14,11,10,9,8,7,7,5,5,5,4,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,687
