Short_topo,Cancer,Osteosarcoma,Adrenal cortical carcinoma,Infiltrating duct carcinoma,Rhabdomyosarcoma,Sarcoma,Choroid plexus carcinoma,Medulloblastoma,Leiomyosarcoma,Glioblastoma,"Astrocytoma, anaplastic",Astrocytoma,Liposarcoma,"Phyllodes tumor, malignant",Carcinoma in situ,Embryonal rhabdomyosarcoma,"Ductal carcinoma in situ, solid type",Primitive neuroectodermal tumor,Malignant fibrous histiocytoma,Spindle cell sarcoma,Fibrosarcoma,"Glioma, malignant",Oligodendroglioma,"Paget's disease, mammary",Canalicular adenoma,Choroid plexus papilloma,Ependymoma,Lobular carcinoma,Benign fibrous histiocytoma,Dermatofibrosarcoma,Fibroadenoma,"Intraductal carcinoma, noninfiltrating",Mixed glioma,Myxoid liposarcoma,Myxosarcoma,Neurofibroma,Paget's disease and intraductal carcinoma of breast,"Phyllodes tumor, benign",Pleomorphic xanthoastrocytoma,Stromal sarcoma,,Adenocarcinoma,Angiomyoma,Astroblastoma,Atypical choroid plexus papilloma,Atypical fibrous histiocytoma,Atypical medullary carcinoma,Comedocarcinoma,"Comedocarcinoma, noninfiltrating",Dysembryoplastic neuroepithelial tumor,Ewing sarcoma,Gliosarcoma,Hemangioendothelioma,Hemangioma,Infiltrating duct and lobular carcinoma,Leiomyoma,Lipoblastomatosis,Lipoma,Malignant peripheral nerve sheath tumor,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation,Meningioma,"Meningioma, malignant","Neoplasm, benign",Neurilemoma,"Oligodendroglioma, anaplastic",Papillary adenocarcinoma,Peripheral neuroectodermal tumor,Pilocytic astrocytoma,"Pleomorphic rhabdomyosarcoma, adult type",Plexiform fibrohistiocytic tumor,"Synovial sarcoma, biphasic",Tubular adenocarcinoma,Undifferentiated sarcoma,Total
BREAST,476,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,NA,11,NA,NA,1,NA,NA,NA,4,3,NA,NA,3,NA,NA,1,2,NA,NA,NA,NA,2,2,NA,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,652
SOFT TISSUES,NA,NA,NA,NA,83,74,NA,NA,36,NA,NA,NA,19,NA,NA,11,NA,NA,10,6,6,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,2,2,2,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,1,273
BRAIN,32,NA,NA,NA,NA,NA,45,39,NA,35,23,21,NA,NA,NA,1,NA,11,NA,NA,NA,5,5,NA,NA,3,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,237
Osteosarcoma,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Adrenal cortical carcinoma,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Total,508,153,126,113,83,74,45,39,36,35,23,21,19,15,12,12,11,11,10,7,6,5,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1442
