Age_stratum,BREAST,SOFT TISSUES,BRAIN,Osteosarcoma,No cancer at follow-up,Adrenal cortical carcinoma,Total
20-29,0.6273972602739726,0.09863013698630137,0.1095890410958904,0.0547945205479452,0.09041095890410959,0.019178082191780823,1
30-39,0.6914600550964187,0.11019283746556474,0.06887052341597796,0.02203856749311295,0.09366391184573003,0.013774104683195593,1
0-9,NA,0.29178470254957506,0.29745042492917845,0.05099150141643059,0.0708215297450425,0.28895184135977336,1
40 and up,0.54,0.22666666666666666,0.09,0.02,0.12,0.0033333333333333335,1
10-19,0.06637168141592921,0.1415929203539823,0.19469026548672566,0.4469026548672566,0.09734513274336283,0.05309734513274336,1
