Short_topo,Cancer,Osteosarcoma,Adrenal cortical carcinoma,Infiltrating duct carcinoma,Rhabdomyosarcoma,Sarcoma,Choroid plexus carcinoma,Medulloblastoma,Leiomyosarcoma,Glioblastoma,"Astrocytoma, anaplastic",Astrocytoma,Liposarcoma,"Phyllodes tumor, malignant",Carcinoma in situ,Embryonal rhabdomyosarcoma,"Ductal carcinoma in situ, solid type",Primitive neuroectodermal tumor,Malignant fibrous histiocytoma,Spindle cell sarcoma,Fibrosarcoma,"Glioma, malignant",Oligodendroglioma,"Paget's disease, mammary",Canalicular adenoma,Choroid plexus papilloma,Ependymoma,Lobular carcinoma,Benign fibrous histiocytoma,Dermatofibrosarcoma,Fibroadenoma,"Intraductal carcinoma, noninfiltrating",Mixed glioma,Myxoid liposarcoma,Myxosarcoma,Neurofibroma,Paget's disease and intraductal carcinoma of breast,"Phyllodes tumor, benign",Pleomorphic xanthoastrocytoma,Stromal sarcoma,No cancer at follow-up,Adenocarcinoma,Angiomyoma,Astroblastoma,Atypical choroid plexus papilloma,Atypical fibrous histiocytoma,Atypical medullary carcinoma,Comedocarcinoma,"Comedocarcinoma, noninfiltrating",Dysembryoplastic neuroepithelial tumor,Ewing sarcoma,Gliosarcoma,Hemangioendothelioma,Hemangioma,Infiltrating duct and lobular carcinoma,Leiomyoma,Lipoblastomatosis,Lipoma,Malignant peripheral nerve sheath tumor,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation,Meningioma,"Meningioma, malignant","Neoplasm, benign",Neurilemoma,"Oligodendroglioma, anaplastic",Papillary adenocarcinoma,Peripheral neuroectodermal tumor,Pilocytic astrocytoma,"Pleomorphic rhabdomyosarcoma, adult type",Plexiform fibrohistiocytic tumor,"Synovial sarcoma, biphasic",Tubular adenocarcinoma,Undifferentiated sarcoma,Total
BREAST,0.7300613496932515,NA,NA,0.17331288343558282,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023006134969325152,0.018404907975460124,NA,0.01687116564417178,NA,NA,0.0015337423312883436,NA,NA,NA,0.006134969325153374,0.004601226993865031,NA,NA,0.004601226993865031,NA,NA,0.0015337423312883436,0.003067484662576687,NA,NA,NA,NA,0.003067484662576687,0.003067484662576687,NA,0.0015337423312883436,NA,0.0015337423312883436,NA,NA,NA,NA,0.0015337423312883436,0.0015337423312883436,0.0015337423312883436,NA,NA,NA,NA,NA,0.0015337423312883436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015337423312883436,NA,1
SOFT TISSUES,NA,NA,NA,NA,0.304029304029304,0.27106227106227104,NA,NA,0.13186813186813187,NA,NA,NA,0.0695970695970696,NA,NA,0.040293040293040296,NA,NA,0.03663003663003663,0.02197802197802198,0.02197802197802198,NA,NA,NA,NA,NA,NA,NA,0.007326007326007326,0.007326007326007326,0.003663003663003663,NA,NA,0.007326007326007326,0.007326007326007326,0.007326007326007326,NA,NA,NA,0.003663003663003663,NA,NA,0.003663003663003663,NA,NA,0.003663003663003663,NA,NA,NA,NA,0.003663003663003663,NA,0.003663003663003663,0.003663003663003663,NA,0.003663003663003663,0.003663003663003663,0.003663003663003663,0.003663003663003663,0.003663003663003663,NA,NA,0.003663003663003663,0.003663003663003663,NA,NA,NA,NA,0.003663003663003663,0.003663003663003663,0.003663003663003663,NA,0.003663003663003663,1
BRAIN,0.1350210970464135,NA,NA,NA,NA,NA,0.189873417721519,0.16455696202531644,NA,0.14767932489451477,0.0970464135021097,0.08860759493670886,NA,NA,NA,0.004219409282700422,NA,0.046413502109704644,NA,NA,NA,0.02109704641350211,0.02109704641350211,NA,NA,0.012658227848101266,0.012658227848101266,NA,NA,NA,NA,NA,0.008438818565400843,NA,NA,NA,NA,NA,0.008438818565400843,NA,NA,NA,NA,0.004219409282700422,0.004219409282700422,NA,NA,NA,NA,0.004219409282700422,NA,0.004219409282700422,NA,NA,NA,NA,NA,NA,NA,NA,0.004219409282700422,0.004219409282700422,NA,NA,0.004219409282700422,0.004219409282700422,0.004219409282700422,0.004219409282700422,NA,NA,NA,NA,NA,1
Osteosarcoma,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Adrenal cortical carcinoma,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
