Short_topo,Cancer,Adrenal cortical carcinoma,Infiltrating duct carcinoma,Osteosarcoma,Rhabdomyosarcoma,Medulloblastoma,Choroid plexus carcinoma,Sarcoma,Glioblastoma,Astrocytoma,Leiomyosarcoma,"Astrocytoma, anaplastic",Carcinoma in situ,Liposarcoma,Embryonal rhabdomyosarcoma,Primitive neuroectodermal tumor,"Phyllodes tumor, malignant","Glioma, malignant","Ductal carcinoma in situ, solid type",Ependymoma,Lobular carcinoma,Malignant fibrous histiocytoma,Oligodendroglioma,Choroid plexus papilloma,Mixed glioma,Myxoid liposarcoma,Benign fibrous histiocytoma,Canalicular adenoma,Dysembryoplastic neuroepithelial tumor,Ewing sarcoma,Fibrosarcoma,Gliosarcoma,Infiltrating duct and lobular carcinoma,Lipoblastomatosis,Lipoma,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation,"Meningioma, malignant",Myxosarcoma,"Oligodendroglioma, anaplastic",Papillary adenocarcinoma,Peripheral neuroectodermal tumor,"Phyllodes tumor, benign","Pleomorphic rhabdomyosarcoma, adult type",Stromal sarcoma,Total
BREAST,0.7585139318885449,NA,0.17337461300309598,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02476780185758514,NA,NA,NA,0.015479876160990712,NA,0.009287925696594427,NA,0.009287925696594427,NA,NA,NA,NA,NA,NA,0.0030959752321981426,NA,NA,NA,NA,0.0030959752321981426,NA,NA,NA,NA,NA,NA,NA,NA,0.0030959752321981426,NA,NA,1
BRAIN,0.1342281879194631,NA,NA,NA,NA,0.22818791946308725,0.19463087248322147,NA,0.12080536912751678,0.08053691275167785,NA,0.06040268456375839,NA,NA,NA,0.04697986577181208,NA,0.026845637583892617,NA,0.020134228187919462,NA,NA,0.020134228187919462,0.013422818791946308,0.013422818791946308,NA,NA,NA,0.006711409395973154,NA,NA,0.006711409395973154,NA,NA,NA,NA,0.006711409395973154,NA,0.006711409395973154,0.006711409395973154,0.006711409395973154,NA,NA,NA,1
SOFT TISSUES,NA,NA,NA,NA,0.375,NA,NA,0.25,NA,NA,0.09615384615384616,NA,NA,0.07692307692307693,0.0673076923076923,NA,NA,NA,NA,NA,NA,0.028846153846153848,NA,NA,NA,0.019230769230769232,0.009615384615384616,NA,NA,0.009615384615384616,0.009615384615384616,NA,NA,0.009615384615384616,0.009615384615384616,0.009615384615384616,NA,0.009615384615384616,NA,NA,NA,NA,0.009615384615384616,0.009615384615384616,1
Adrenal cortical carcinoma,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Osteosarcoma,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
