Short_topo,missense,FS,nonsense,splice,other,large del,intronic,NA,silent,Total
BREAST,0.6316590563165906,0.0974124809741248,0.1035007610350076,0.106544901065449,0.0213089802130898,0.0167427701674277,0.0106544901065449,0.0045662100456621,0.0076103500761035,1
SOFT TISSUES,0.6379928315412187,0.0931899641577061,0.1003584229390681,0.1003584229390681,0.017921146953405017,0.025089605734767026,0.0035842293906810036,0.021505376344086023,NA,1
BRAIN,0.7883817427385892,0.058091286307053944,0.07053941908713693,0.03319502074688797,0.029045643153526972,0.012448132780082987,0.008298755186721992,NA,NA,1
Osteosarcoma,0.6666666666666666,0.13725490196078433,0.06535947712418301,0.05228758169934641,0.0196078431372549,0.032679738562091505,0.006535947712418301,0.0196078431372549,NA,1
,0.6266666666666667,0.09333333333333334,0.1,0.1,0.04,0.02,0.013333333333333334,0.006666666666666667,NA,1
Adrenal cortical carcinoma,0.7244094488188977,0.07874015748031496,0.05511811023622047,0.07874015748031496,0.03937007874015748,0.007874015748031496,NA,NA,0.015748031496062992,1
