Age_stratum,missense,nonsense,FS,splice,large del,other,intronic,NA,silent,Total
0-9 (122 individuals),0.7786885245901639,0.04918032786885246,0.08196721311475409,0.03278688524590164,0.01639344262295082,0.02459016393442623,0.00819672131147541,0.00819672131147541,NA,1
20-29 (106 individuals),0.6320754716981132,0.14150943396226415,0.10377358490566038,0.07547169811320754,0.009433962264150943,0.02830188679245283,0.009433962264150943,NA,NA,1
30-39 (84 individuals),0.6309523809523809,0.11904761904761904,0.07142857142857142,0.14285714285714285,0.011904761904761904,0.011904761904761904,NA,NA,0.011904761904761904,1
40 and up (73 individuals),0.7123287671232876,0.0547945205479452,0.0958904109589041,0.0821917808219178,0.0273972602739726,0.0136986301369863,NA,0.0136986301369863,NA,1
10-19 (59 individuals),0.6949152542372882,0.11864406779661017,0.06779661016949153,0.0847457627118644,0.03389830508474576,NA,NA,NA,NA,1
